city,avg beds number per city,avg square meter price,first sale date per city,last sale date per city
SACRAMENTO,3,86806098,15/5/2008,21/5/2008
RANCHO CORDOVA,2,7375355,15/5/2008,21/5/2008
RIO LINDA,2,2245456,15/5/2008,21/5/2008
CITRUS HEIGHTS,3,6549022,15/5/2008,21/5/2008
NORTH HIGHLANDS,3,2848846,15/5/2008,21/5/2008
ANTELOPE,3,7672381,15/5/2008,21/5/2008
ELK GROVE,3,30911975,15/5/2008,21/5/2008
ELVERTA,3,531464,19/5/2008,21/5/2008
GALT,3,4975801,15/5/2008,21/5/2008
CARMICHAEL,3,5913695,15/5/2008,21/5/2008
ORANGEVALE,3,3070755,15/5/2008,21/5/2008
FOLSOM,3,7054315,16/5/2008,21/5/2008
MATHER,3,237800,21/5/2008,21/5/2008
POLLOCK PINES,2,720908,16/5/2008,21/5/2008
GOLD RIVER,2,1431954,19/5/2008,21/5/2008
EL DORADO HILLS,3,11308912,15/5/2008,21/5/2008
RANCHO MURIETA,2,893233,20/5/2008,21/5/2008
WILTON,3,3087502,16/5/2008,21/5/2008
GREENWOOD,3,395000,21/5/2008,21/5/2008
FAIR OAKS,3,2731506,15/5/2008,20/5/2008
CAMERON PARK,2,2411388,15/5/2008,20/5/2008
LINCOLN,1,6950807,15/5/2008,20/5/2008
PLACERVILLE,2,3638578,16/5/2008,20/5/2008
MEADOW VISTA,3,230000,20/5/2008,20/5/2008
ROSEVILLE,2,15577351,15/5/2008,20/5/2008
ROCKLIN,2,6491168,16/5/2008,20/5/2008
AUBURN,3,2029329,16/5/2008,20/5/2008
LOOMIS,4,1134000,16/5/2008,20/5/2008
EL DORADO,2,494000,16/5/2008,19/5/2008
PENRYN,3,506688,19/5/2008,19/5/2008
GRANITE BAY,4,2036200,16/5/2008,19/5/2008
FORESTHILL,0,2036200,16/5/2008,16/5/2008
DIAMOND SPRINGS,3,216033,16/5/2008,16/5/2008
SHINGLE SPRINGS,0,216033,16/5/2008,16/5/2008
COOL,3,300000,16/5/2008,16/5/2008
WALNUT GROVE,3,380000,16/5/2008,16/5/2008
GARDEN VALLEY,3,380000,16/5/2008,16/5/2008
SLOUGHHOUSE,3,2000,16/5/2008,16/5/2008
WEST SACRAMENTO,0,511873,15/5/2008,15/5/2008
