city,avg price per city,total price per city
SACRAMENTO,197735,86806099
RANCHO CORDOVA,263405,7375366
RIO LINDA,172727,2245459
CITRUS HEIGHTS,187114,6549022
NORTH HIGHLANDS,135659,2848846
ANTELOPE,232496,7672381
ELK GROVE,271157,30911977
ELVERTA,132866,531464
GALT,236943,4975812
CARMICHAEL,295684,5913695
ORANGEVALE,279159,3070755
FOLSOM,414960,7054323
MATHER,237800,237800
POLLOCK PINES,240302,720908
GOLD RIVER,358000,1432000
EL DORADO HILLS,491698,11309076
RANCHO MURIETA,297750,893250
WILTON,617508,3087542
GREENWOOD,395000,395000
FAIR OAKS,303500,2731506
CAMERON PARK,267944,2411500
LINCOLN,96539,6950827
PLACERVILLE,363863,3638634
MEADOW VISTA,230000,230000
ROSEVILLE,324528,15577356
ROCKLIN,381835,6491209
AUBURN,405890,2029454
LOOMIS,567000,1134000
EL DORADO,247000,494000
PENRYN,506688,506688
GRANITE BAY,678733,2036200
FORESTHILL,194818,194818
DIAMOND SPRINGS,216033,216033
SHINGLE SPRINGS,275000,275000
COOL,300000,300000
WALNUT GROVE,380000,380000
GARDEN VALLEY,490000,490000
SLOUGHHOUSE,2000,2000
WEST SACRAMENTO,170700,512100
